Sr.,Particulars,Qty,Rate,Total,Date,Company,,
2304,uper cover window,606,36,21816,,,,
2305,Back Cover 70,989,30,29670,,,,
2306,Hosing  70 black,1076,10,10760,,,,
2307,,,,87410,,,,
2308,uper cover new model70,661,36,23796,28-8-2015,,,
2309,uper cover window,419,36,15084,,,,
2310,Back Cover 70,621,30,18630,,,,
2311,Hosing  70 black,600,10,6000,,,,
2312,,,,63510,,,,
2313,uper cover window,317,36,11412,25-8-2015,,,
2314,Back Cover 70,417,30,12510,,,,
2315,Hosing  70 black,494,10,4940,,,,
2316,,,,28862,,,,
2317,uper cover new model 70,515,36,18540,26-8-2015,,,
2318,Back Cover 70,528,30,15840,,,,
2319,Hosing  70 black,498,10,4980,,,,
2320,Cover set 125 New,200,125,25000,,,,
2321,,,,64360,,,,
2322,uper cover window,452,36,16272,29-8-2015,,,
2323,Back Cover 70,459,30,13770,,,,
2324,Hosing  70 black,529,10,5290,,,,
2325,,,,35332,,,,
2326,uper cover window,797,36,28692,31-8-2015,,,
2327,Back Cover 70,777,30,23310,,,,
2328,,,,52002,,,,
2329,uper cover window,352,36,12672,2/9/2015,,,
2330,Back Cover 70,630,30,18900,,,,
2331,Hosing  70 black,705,10,7050,,,,
2332,,,,38622,,,,
2333,uper cover window,773,36,27828,3/9/2015,,,
2334,Back Cover 70,816,30,24480,,,,
2335,Hosing  70 black,794,10,7940,,,,
2336,,,,60248,,,,
2337,Uper cover Window,504,36,18144,4/9/2015,,,
2338,uper cover new model70,551,36,19836,,,,
2339,Back Cover 70,747,30,22410,,,,
2340,Hosing  70 black,795,10,7950,,,,
2341,,,,68340,,,,
2342,uper cover window,290,36,10440,5/9/2015,,,
2343,Back Cover 70,690,30,20700,,,,
2344,Hosing  70 black,600,10,6000,,,,
2345,,,,37140,,,,
2346,Uper cover Window,660,36,23760,7/9/2015,,,
2347,uper cover new model70,412,36,14832,,,,
2348,Back Cover 70,664,30,19920,,,,
2349,Hosing  70 black,702,10,7020,,,,
2350,,,,65532,,,,
2351,Uper cover Window,516,36,18576,8/9/2015,,,
2352,Back Cover 70,630,30,18900,,,,
2353,Hosing  70 black,600,10,6000,,,,
2354,uper cover 125,100,45,4500,,,,
2355,back Cover 125,100,20,2000,,,,
2356,,,,49976,,,,
2357,Uper cover Window,566,36,20376,9/9/2015,,,
2358,uper cover new model70,528,36,19008,,,,
2359,Back Cover 70,621,30,18630,,,,
2360,,,,58014,,,,
2361,uper cover window,338,36,12168,11/9/2015,,,
2362,Back Cover 70,405,30,12150,,,,
2363,Hosing  70 black,165,10,1650,,,,
2364,,,,25968,,,,
2365,uper cover window,476,36,17136,12/9/2015,,,
2366,Back Cover 70,534,30,16020,,,,
2367,Hosing  70 black,792,10,7920,,,,
2368,,,,41076,,,,
2369,uper cover window,458,36,16488,12/9/2015,,,
2370,Back Cover 70,516,30,15480,,,,
2371,Hosing  70 black,472,10,4720,,,,
2372,,,,36688,,,,
2373,uper cover window,432,36,15552,14-9-2015,,,
2374,Back Cover 70,1026,30,30780,,,,
2375,Hosing  70 black,750,10,7500,,,,
2376,Cover set 125,200,125,25000,,,,
2377,,,,78832,,,,
2378,uper cover window,524,36,18864,15-9-2015,,,
2379,Back Cover 70,826,30,24780,,,,
2380,Hosing  70 black,978,10,9780,,,,
2381,,,,53424,,,,
2382,uper cover window,500,36,18000,16-9-2015,,,
2383,Back Cover 70,528,30,15840,,,,
2384,Hosing  70 black,720,10,7200,,,,
2385,uper cover window repulse,2,,41040,,,,
2386,uper cover window,764,36,27504,17-9-2015,,,
2387,Back Cover 70,633,30,18990,,,,
2388,Hosing  70 black,645,10,6450,,,,
2389,,,,52944,,,,
2390,uper cover window,595,36,21420,17-9-2015,,,
2391,Back Cover 70,672,30,20160,,,,
2392,Hosing  70 black,602,10,6020,,,,
2393,,,,47600,,,,
2394,uper cover window,1074,36,38664,19-9-2015,,,
2395,Back Cover 70,795,30,23850,,,,
2396,Hosing  70 black,692,10,6920,,,,
2397,,,,69434,,,,
2398,uper cover window,834,36,30024,21-9-2015,,,
2399,Back Cover 70,606,30,18180,,,,
2400,,,,48204,,,,
2401,uper cover window,970,36,34920,23-9-2015,,,
2402,Back Cover 70,979,30,29370,,,,
2403,Hosing  70 black,645,10,6450,,,,
2404,,,,70740,,,,
2405,uper cover window,484,36,17424,28-9-2015,,,
2406,Back Cover 70,861,30,25830,,,,
2407,Hosing  70 black,600,10,6000,,,,
2408,,,,49254,,,,
2409,Hosing  70 black,690,10,6900,30-9-2015,,,
2410,uper cover unique,169,36,6084,,,,
2411,Back Cover 70,621,30,18630,,,,
2412,,,,31614,,,,
2413,Cover set 125 New,100,125,12500,30-9-2015,,,
2414,uper cover window,603,36,21708,,,,
